Gene	GSM1332201	GSM1332202	GSM1332203	GSM1332204	GSM1332205	GSM1332206	GSM1332207	GSM1332208	GSM1332209	GSM1332210	GSM1332211	GSM1332212	GSM1332213	GSM1332214	GSM1332215	GSM1332216	GSM1332217	GSM1332218	GSM1332219	GSM1332220
RFC2	101.7	68.6	79.4	59.8	69.3	35.2	59.7	43.8	42.8	62	62.5	50.2	115.3	63.9	57.5	78.4	46.1	50.7	74.4	20.8
HSPA6	224.6	518.3	378.7	77.2	828.5	329	236.3	215.4	115.5	277.8	97.8	115.9	73.6	71.5	86.5	98.4	100.9	161.5	107.1	147.1
PAX8	344.8	360.7	564.4	434.5	553.7	606	625	531.5	592.7	654.5	485.3	486.1	455.2	433.4	480	486.4	540.7	743.1	647.1	701.7
GUCA1A	14.9	19.3	21.4	14.1	11.4	5.4	7.4	12.3	5.1	30.4	65.4	33.9	108.6	47.5	37	44	55.2	20.7	48.2	29.8
THRA	45.6	49.5	50.8	54	60.9	65.1	57.2	65.9	44.8	62.2	61.4	43.8	86.9	34.7	30.9	55.1	47.7	33.5	45.9	97.8
PTPN21	30.3	35	32.3	14.7	9.2	4	31	14.1	7.7	9.8	13.3	35.9	36.8	39.7	37.9	44.7	10.2	10.6	10.7	14.1
CCL5	14.5	5.6	5.3	14.2	5.5	8.9	14.9	6.7	1.6	115.6	86.4	33.7	42.4	34.1	52.6	15.3	85.4	52.1	53	32
CYP2E1	14.6	13.2	29	53	32.6	6.5	9.1	10.3	19.5	24.5	37.4	19.2	40.3	28.9	21.2	8.9	27.5	24.3	18.9	26.3
EPHB3	8.6	19.4	38.1	28.3	14.3	46.7	20	38.8	35.3	20.9	59.2	58.4	47.7	51.7	22.2	14.2	69.4	87.4	64.1	84.9
ESRRA	169.6	161.7	142.6	155	176.9	102.4	145.8	159.1	147.6	210.4	158.7	170.3	166.3	130.6	140.2	169.4	172.7	190.8	183.6	181.7
CYP2A6	89.3	110	182.8	108.3	139	101.4	229.2	157.1	92.6	156.7	144	122.7	94.5	101.6	120.9	140.6	116.1	127.5	129.1	199.1
GAS6	478.4	903.3	1005.8	521.3	1406.4	853.4	1602	1437.4	1057.3	1306.5	904.9	1075.9	661.8	1084.9	1017.1	1186.5	1428.5	1396	1091.6	1608.1
MMP14	318.1	369.8	603	442.3	538.1	347.4	536.1	649.3	498.8	487.6	551.3	396	368.6	351.1	374	238.6	419.1	397.2	443.5	556.9
TRADD	164.8	126	92.9	137	156.4	105.6	161.2	166.6	205.9	162.5	164	243.5	154.7	161.7	153.2	148.4	167.7	211.6	191.8	225.7
PLD1	71.7	53.3	79.1	44.8	15.5	33.9	42.2	56.7	35.9	36.5	99.7	77.7	105.9	88.9	168	105.7	96.7	64.7	97.7	114
DTX2P1-UPK3BP1-PMS2P11	202.7	266	342.8	218.1	346.7	254.5	509.8	432.8	261.2	353.7	355.9	376.4	366.1	347.7	363.6	277.7	370.1	441.8	322.4	385.6
BAD	98.6	99.3	69.3	50.2	101.9	54.5	75	85.1	87.4	92.4	79.4	91.9	95.8	108.5	61.4	112.8	103.4	90.7	102.7	117.1
PRPF8	367.6	469.8	539.8	692.4	569.7	227.2	389.8	459.2	536.3	471.9	373	515.7	472.6	503.8	400.6	450.6	525	402.7	502	420.8
CAPNS1	1171.8	1234.2	1345.4	1644	1608.7	734.5	1647	2072.6	1799.6	1435	1308.1	1954	2198.9	1888.4	1798.3	2093.4	1884.5	2450.2	1596.9	1502.2
RPL35	3187.9	2419.1	3144.4	2882.2	3021.6	1703	3534.3	2836.3	2190	2076.7	2133.6	2098	3684.6	2843.1	2206.1	3031.2	2536.9	2390.4	2454.6	2363.1
EIF4G2	1342.3	1500.5	1571	2076.3	1805.8	2242	1692.2	1541.5	1399.2	1364	1972.5	1909.6	1069.1	2065.8	1721.4	1934.4	2267.9	2079.2	1703.5	1667.1
EIF3D	1155.4	1198.8	979.6	858.8	1002.3	589.4	1002.3	857.8	836.5	753.8	845.1	963	771.5	1060.2	1058.4	1052.2	868.9	708.2	847.4	641
PARK7	3411.7	1867.1	1870	2561.2	1227.4	1646.9	1877.8	1761.4	1645.4	1433.2	1899.3	1728	1685.9	2523.9	2219.7	2402.1	1924.2	1508.6	1766.5	1558.7
SRP14	3911.5	2093.5	2303.5	2040.6	1490.2	2503.2	2228.4	1645.3	2007.9	1563.2	2014.2	2298.6	3606.4	2257.1	2274.5	2393.1	1764.8	1736.8	1765.2	1698.4
GDI2	796.2	722.5	781.1	438	551.3	373.5	968.4	369.4	482.3	540.5	457.5	770.3	722.6	757.7	787.4	855.7	806.7	786.2	703.4	597
RPL11	4269.2	4018.6	3008.3	3055	3496.1	3448.3	4676.7	3450.1	3510.7	3090.7	3118	3119.5	1479.7	4404	3448	3748.1	3346.2	3538.2	2740.1	3841.4
ARF3	259.7	439.8	431.5	638.3	693.6	315.8	599.5	558	588.7	595.8	473.5	642.7	441.4	531.8	582.3	600.7	711.8	761.1	773.9	671.8
RPL24	7123.8	4207.3	4262.9	2986	3210.5	2273.1	3399.7	2927.9	2460.9	2296.5	3192.2	3064.5	2136.1	3894.6	3219.6	4274.4	2893	2424.3	2970.3	2437.7
HNRNPC	1161.8	918.2	625.3	628.1	427.8	672.9	735.1	533.8	470.5	323.1	523	441.7	369.7	521.5	589.5	596.3	388.6	402.3	425.7	345.7
SEPT2	1817.7	977.1	1039.5	1695.3	1325.9	1684.4	1339.1	1203.6	1223.1	1031.9	1366.5	1370.5	1769.3	1246.2	1407.2	1379.3	1421.7	1575.6	1234.5	1176.7
RPS27A	4714	4289.7	2841.6	3332.6	4463.5	4483.2	5928.3	4374.1	3674.6	3308.3	2461.1	3416	4426.5	3211.5	3618	3265.9	3105.2	4304.5	3720.8	4154.1
FAU	3805.4	4285.1	3659.5	3493.2	3164.9	2350.3	3372	3347.8	2733.8	2857.5	2954	2497.8	4571.1	4085.2	2694.3	4085.2	3248.7	2721.1	3157.9	3704.4
TARDBP	427.1	374.3	371.7	332	380.4	431.3	401.2	251.9	346.1	428.6	342.7	344.9	277.7	319	292.7	386.8	342.9	460.2	346.1	257.6
CFL1	5170.5	4348.1	7431.4	7083	4339.9	4937.1	5693.4	4923.2	4064.3	4496.6	6527.2	6330	5598.4	7578.4	6652.3	3133.6	5319.5	4838.8	4175	6088.6
RPL18	5178.8	4178.4	4378.2	3651.2	4028.5	1832	3212.9	2680.3	2943.6	2961	3455.1	3327.1	5217.2	3529.6	3904.7	4209.5	3344.6	3011.8	3149.2	3787.2
EIF3F	1524.8	1540.9	1075.2	1050.5	1542.3	1366.3	1371	1144.8	1300.6	1025.9	1169.5	1025.5	2122.6	1621.3	1354.1	1335.5	1186.5	1272.9	1293.7	1099.7
RPS5	3079.5	2376.6	2950.6	2404.4	2771.2	1443.6	3767.7	2924.8	2417.9	1407.6	1316	2298.7	3775.1	2679.5	3023.9	2336.9	2893.3	1891.3	2430.1	1989.7
RPL27	6188.4	4471.1	4388	3854	3870	5044	4984.1	3841.4	3272.4	3285.2	4328.4	3670.1	4030.7	4057	3826.5	4699.3	3547.6	3530.7	3239	3652.8
RPL34	5547.4	4777.3	5716.1	3818.7	3094.4	3808.6	5019.9	3473.4	2608.2	3188.1	3931.3	4319.6	4029.2	5609	5074.1	5913.1	3572	2342	3929.2	2307
NARS	1589.9	1023.5	921.4	1204.9	686	882.2	961.3	510	826.6	899.4	951	927.4	978.1	1010.8	1093.9	991.9	770.1	885.5	778.6	694.8
STARD7	495.4	397.8	580.6	486.6	301.4	747	252.2	421	666.8	665.8	728.2	538.5	486.9	618.9	581.6	618.9	548.3	1192.9	626.3	382.4
RPL19	6344.6	3765.9	5401.6	4504.2	4115.2	4552.8	5471.1	5017.9	3586.6	3027.1	3321.8	4303.5	7041.5	6327.5	4885.3	4233.8	4494.9	3621.4	2965.6	3616.3
SLC25A3	2062.8	1661.1	1856.6	1892.5	2245	2354.4	1988.4	1770.8	2249.2	1382.8	1427.1	1881.8	2525	2132.1	1974.4	1977.9	2258.4	2115.8	1764	1655.4
RPL9	4583.2	6100	6603.8	5371.9	5061.8	5638.6	6334.5	5387	4186.5	3693.6	5411.3	5120.4	5443.1	7385.3	5733.2	7370.2	5261.5	4645.9	4031.8	4915.9
RPL6	3937.5	3014.2	3150.7	2338.9	3185.4	2471.5	3654.9	3147.2	2727	1902.8	2374.3	2642.7	1371.6	2953.3	3304.4	2739.7	3551	2683.4	2415.2	2637.3
CTDNEP1	175.9	188.8	160	298.1	345.9	299.4	352.9	430.7	430.2	325.4	269.7	206.3	192.6	326	263.9	114	439.4	348.3	244.4	277.5
RPL10A	5781.3	4049.1	4137.5	2806.5	2239.5	2094.6	3126.2	2608.5	1981.8	1748.8	2750	3027.1	5323.2	3703.6	3307.7	4012.2	2083.3	1833.7	2263	2601.5
CBX3	1151.6	712	540.7	885.4	804.1	1218.6	846.6	1022.6	822.4	553	696.6	623.5	1098.4	578.9	587.7	696.6	693.7	727	517	491.6
PSMB2	484.8	400.1	458.9	575.2	361.3	400.7	618.5	547.3	480.9	558.2	602	642.2	701.2	540.1	498	503.5	492.9	650.4	541.6	524.1
KHDRBS1	295.4	666.6	596.6	532	712.4	1087.6	735.7	463.1	791	499.8	761.2	553.3	368.1	598.1	604.2	703.3	729.1	582	738	578.8
