Gene.symbol	GSM1339628	GSM1339629	GSM1339630	GSM1339631	GSM1339632	GSM1339633
RFC2	203.9	128.6	218	160.4	141.1	233.6
HSPA6	230.7	187.1	151.8	242.4	170.3	231.2
PAX8	707.2	1547.6	1462.5	806.2	1057.4	1407.1
GUCA1A	87.5	125.2	136.8	47.7	78	128.8
THRA	120.1	134.5	171.8	109	124.3	85.1
PTPN21	94.3	224.9	203	216.2	196.4	172.9
CCL5	395.3	41.5	58.8	125.3	70	77.9
CYP2E1	22.4	65.5	48.6	43.2	51.3	30.2
EPHB3	264	222.6	256.5	654.2	187.1	88
ESRRA	612.7	710	760.5	472.2	510.1	555.4
CYP2A6	146.8	329	282.3	159.4	285.5	196
GAS6	4066.9	4309.4	3304.8	4460.7	6518.1	2539.7
MMP14	1838.4	1257.1	2234.6	4181.2	1009.9	735.3
TRADD	595	293.2	470.5	476.3	525.9	314
PLD1	337.8	219.5	268.4	229.7	409.8	260.6
DTX2P1-UPK3BP1-PMS2P11	491.3	967.2	1020.8	666.9	762.4	534.3
BAD	234	267.1	290.1	209.9	259.2	230.9
PRPF8	1561.5	1431.9	1588.3	1434.4	1181.7	976.9
CAPNS1	4855.8	5870.9	5896.3	5832.5	5426.4	5696.7
RPL35	7862	7039.1	7040.2	7304.5	6605.9	6958.8
EIF4G2	4471	5061	4912.3	4768.9	4946.7	4924.4
EIF3D	2703.5	3339.3	3633.2	3581.1	3602.3	3041.4
PARK7	5138	5278.4	5273.1	5064.9	4903	6356.7
SRP14	5824.3	6294.1	5464.9	5184.8	5138.3	5258.8
GDI2	3210.4	2794.2	3087.7	3094	2768.5	2708.9
RPL11	6208.5	7218.5	7235.5	6332.8	6960.7	7663.8
ARF3	2163.2	2791.4	2971	2421.2	2104.4	2559.1
RPL24	7949.7	7796.3	7356.7	8589.5	6522.3	8274.7
HNRNPC	1352	1380	1243.5	1350.3	1259.8	1586.7
SEPT2	3074.5	3722.7	3616.7	3714.5	3688.1	4459.8
RPS27A	9377.9	8353.1	9286.5	8917.9	7949.7	8168.6
FAU	7455.5	7403.9	7507	6892.4	7488.3	9300.2
TARDBP	1338.4	1386.7	1235.6	2101.2	2039.2	2577.7
CFL1	8302.5	9062.7	9734.2	7549	9249.2	8057.6
RPL18	7585.1	7765.2	7040.5	7350.4	7178.3	7434.6
EIF3F	2772.1	3507.4	2967.6	3817.7	3286.5	3440.8
RPS5	5929.6	5019.2	5704.9	6733.4	6209.4	8749.7
RPL27	8626.1	9207.3	9144.4	9467.9	8146.6	8952.8
RPL34	10308.9	9922.6	10562.8	8999	8741.5	10146.6
NARS	2827.4	2782.2	2962.9	2492.9	3107.2	3228.3
STARD7	2710.2	1998.2	1601.8	2486.2	2189.3	2819.8
RPL19	8742.4	8043.1	9114.7	8407.5	8734.2	8937.7
SLC25A3	5668.6	5823.3	5891.4	5945.9	5558.3	6311.4
RPL9	9482.1	9734.3	9462.3	10108.4	9000.8	10492.5
RPL6	6603.7	5802.5	6314	5831	5816.7	6245.8
CTDNEP1	1283.4	1307.8	945	1146	834.9	1205.4
RPL10A	8146	8355.6	8231.1	8059	7811.1	8881.9
CBX3	1802.4	1792.1	2098.2	2220	1907.3	2595.9
PSMB2	2949.4	2119.6	2278.1	2227.4	2284.5	2342.2
KHDRBS1	1994.6	2132.2	2277.9	2781.6	2358.8	2284.8
RTCB	1472.1	1237.6	1249.5	1613.4	1546.9	1349.1
ERH	4363.4	4522.2	4437.5	4026.6	3477.1	4203.8
ABCF1	874.8	1099.6	1188.9	1011.5	1257.1	1204.1
DAD1	2888.7	3155.6	2942.8	3622.2	3467.3	3428.8
