Gene	GSM1337304	GSM1337305	GSM1337306	GSM1337307	GSM1337308	GSM1337309	GSM1337310	GSM1337311	GSM1337312	GSM1337313	GSM1332201	GSM1332202	GSM1332203	GSM1332204	GSM1332205	GSM1332206	GSM1332207	GSM1332208	GSM1332209	GSM1332210	GSM1332211	GSM1332212	GSM1332213	GSM1332214	GSM1332215	GSM1332216	GSM1332217	GSM1332218	GSM1332219	GSM1332220	GSM1339628	GSM1339629	GSM1339630	GSM1339631	GSM1339632	GSM1339633	GSM1337327	GSM1337328	GSM1337329	GSM1337330	GSM1337331	GSM1337332	GSM1337333	GSM1337334	GSM1337335	GSM1337336
COL1A1	22348.80944	4912.009444	-873.5905556	-1280.690556	-125.8905556	95.40944444	23646.70944	15727.30944	12882.00944	5146.509444	5456.854444	5128.154444	5232.254444	5331.554444	5181.954444	5163.354444	5256.654444	9722.854444	5182.554444	5468.854444	14523.25444	7830.454444	5739.854444	10917.05444	6686.154444	7298.754444	9633.854444	7702.554444	7193.954444	7838.454444	8387.236111	6445.036111	7107.036111	12083.63611	8242.436111	481.4361111	4935.209444	3679.009444	5833.909444	6539.009444	2215.709444	7000.109444	1237.709444	7371.009444	15532.70944	5666.409444
HUWE1	21555.13889	28937.53889	25003.73889	17117.73889	15208.23889	23498.33889	24244.03889	17496.03889	18759.23889	19026.63889	16735.60389	15415.60389	23607.10389	15910.70389	12909.30389	16400.30389	11298.30389	16901.00389	12372.70389	12324.80389	16212.90389	16042.10389	17016.30389	18338.30389	17380.50389	17842.20389	16382.00389	12882.60389	11973.50389	15576.60389	14072.85722	14979.25722	17864.35722	15829.75722	15991.35722	15319.15722	8182.738889	7700.438889	14412.83889	11605.73889	7399.338889	9480.238889	11824.13889	8664.638889	6233.438889	17172.23889
FTL	16532.84389	31549.94389	18228.84389	14781.24389	11822.24389	17830.54389	23995.94389	20079.54389	20053.04389	25072.34389	17653.28389	16160.18389	18794.38389	15827.78389	13298.98389	13446.98389	15804.08389	14275.38389	12032.08389	12507.78389	18051.08389	16044.08389	18552.28389	18938.88389	18533.58389	20532.78389	16535.68389	12720.68389	11577.08389	16741.68389	15825.07222	15747.47222	17551.27222	15223.47222	15993.37222	15067.97222	9896.543889	9262.943889	13490.44389	12683.14389	8451.043889	10865.04389	12780.64389	10126.34389	7752.543889	22773.54389
COL1A2	20841.93389	16466.43389	2941.733889	4669.933889	5120.033889	9343.633889	24333.43389	17390.43389	20005.23389	16745.53389	12041.80889	8014.808889	8994.508889	10875.60889	7843.008889	10427.20889	7284.408889	12552.40889	8267.208889	9031.408889	17097.30889	13608.20889	14329.50889	19035.40889	16167.90889	14058.90889	13842.50889	11734.10889	11152.70889	13743.50889	12426.55722	11806.95722	12944.35722	13873.65722	12472.95722	8506.257222	7927.933889	9385.733889	12598.33389	10404.53389	5373.833889	9663.333889	8597.633889	9310.433889	10283.03389	18699.33389
MT2A	10679.09056	21575.69056	11078.19056	21969.99056	19252.69056	21888.49056	5350.690556	11753.99056	12658.79056	20723.09056	18861.57056	15178.77056	19870.17056	17189.57056	12456.27056	14625.77056	16088.57056	16510.07056	11677.77056	11711.97056	7405.270556	8982.670556	11306.97056	11588.77056	13611.77056	8966.570556	14332.47056	9635.770556	8103.070556	9667.270556	12113.73889	13257.33889	15660.83889	9704.738889	13223.33889	13371.33889	9240.990556	11745.49056	12706.79056	9329.590556	6011.690556	12404.99056	13031.99056	9936.090556	2350.390556	14082.39056
IGLC1	6596.377222	-251.1227778	1367.777222	-553.1227778	1848.777222	-565.3227778	1074.977222	1963.777222	964.4772222	546.5772222	2065.047222	2032.047222	2052.747222	2048.547222	2074.347222	2071.447222	2011.447222	2054.447222	2042.847222	2400.847222	2960.847222	2436.847222	4820.547222	2655.547222	11463.24722	2166.747222	7644.047222	6034.447222	4881.647222	11099.14722	13244.97556	2761.075556	-944.4244444	6095.375556	2958.775556	-1010.724444	9897.877222	2635.577222	17169.27722	18074.17722	3853.377222	-422.9227778	4175.777222	3317.777222	4088.077222	1234.677222
HBB	25537.83444	6030.134444	7580.334444	10221.33444	340.5344444	29.43444444	-801.8655556	9856.034444	7081.834444	5215.834444	5378.454444	5140.854444	5571.554444	5139.854444	7253.754444	5953.654444	8141.454444	5235.354444	5101.554444	5568.254444	5269.454444	5987.254444	5802.454444	6114.754444	8074.454444	6130.154444	5392.854444	5339.954444	6350.854444	7127.954444	4924.011111	11227.51111	556.9111111	10572.21111	10393.31111	-1651.488889	3715.234444	3924.834444	5883.534444	4633.534444	5291.634444	2152.834444	966.7344444	1750.434444	7895.234444	12769.43444
COL3A1	17604.24556	8786.145556	745.8455556	-1270.054444	1876.045556	8662.145556	19893.34556	16175.74556	17251.54556	15627.94556	8537.780556	6068.880556	6963.680556	6851.080556	5845.080556	5940.880556	6436.780556	10209.58056	6350.180556	6973.180556	13506.68056	11436.98056	9101.380556	15238.28056	11815.68056	11020.78056	13443.78056	11227.68056	9062.380556	11040.08056	9824.373889	8440.673889	9062.373889	11519.97389	10015.67389	7258.173889	7736.545556	7603.045556	9910.645556	8579.045556	4950.545556	8788.145556	5037.245556	7224.045556	9477.945556	12410.64556
APOD	504.2577778	2507.157778	22421.85778	1174.657778	2247.257778	13335.75778	917.7577778	1539.257778	1683.157778	4588.957778	1192.047778	3955.847778	9370.747778	1580.647778	5175.747778	9202.947778	10309.04778	4538.347778	6027.947778	5028.647778	1129.247778	1072.947778	1398.747778	1434.447778	1050.047778	1381.447778	1069.347778	1054.647778	1146.447778	1131.247778	2262.694444	8391.394444	777.7944444	5820.494444	1931.894444	1290.894444	713.3577778	96.65777778	3234.757778	1510.057778	4442.057778	1363.257778	3900.557778	664.4577778	285.3577778	1119.957778
DUSP1	10848.26	4297.86	13554.56	10384.96	13510.66	13515.26	653.96	12612.76	13850.16	14558.26	10003.245	7926.345	12132.145	8162.445	7186.545	9399.445	9910.845	10089.845	6739.945	6341.145	4671.245	5253.945	7352.645	7112.845	6095.845	4405.245	2586.345	4091.645	3199.945	2144.245	10015.195	4946.995	6717.095	4110.295	10711.195	3940.995	4574.66	6250.26	-650.84	3986.76	963.76	2377.36	1487.06	2249.56	4437.66	1342.96
